histogram_mean,histogram_std,histogram_skewness,histogram_kurtosis,uniform_pattern_mean,uniform_pattern_std,uniform_pattern_skewness,uniform_pattern_kurtosis,rotation_invariant_mean,rotation_invariant_std,rotation_invariant_skewness,rotation_invariant_kurtosis
0.00390625,0.016323455,4.3359385,18.061094,562.0,998.2241,1.6699456,1.4641663,0.1,0.12861437,1.1111137,0.022611856
0.00390625,0.01696936,5.2287145,32.191734,644.4,1106.9677,1.3625239,0.07214087,0.1,0.11859923,0.79105943,-0.6973288
0.00390625,0.020358322,9.044478,104.04203,791.8,1441.8605,1.6173537,1.0410372,0.1,0.114802256,0.53484905,-1.42907
0.00390625,0.016715754,4.6133614,21.3324,586.9,1009.33826,1.5086511,0.8561126,0.1,0.1324489,1.2206676,0.33692408
0.00390625,0.017951803,6.3007116,50.325806,685.1,1165.4794,1.333603,-0.00415883,0.1,0.11811099,0.7608773,-0.75691366
0.00390625,0.02029732,8.855463,99.81179,783.9,1416.9894,1.6121031,1.0530471,0.1,0.11509302,0.5664151,-1.3497458
0.00390625,0.01654196,4.5156074,20.298458,562.2,945.2122,1.4193628,0.58112955,0.1,0.13006213,1.1735462,0.2318449
0.00390625,0.017103424,5.4077005,35.0803,654.9,1142.6122,1.3971266,0.14254268,0.1,0.11758463,0.73017323,-0.8621428
0.00390625,0.018414635,6.915189,61.937622,719.3,1261.1975,1.4052187,0.15222247,0.1,0.115004174,0.590231,-1.2075422
0.00390625,0.016554365,4.495625,19.865509,520.3,941.82166,1.7893875,1.959472,0.1,0.13786821,1.3369638,0.6472001
0.00390625,0.021827247,9.987478,122.73371,794.8,1519.7356,1.8814542,2.151002,0.1,0.12136724,0.74798673,-1.0443445
0.00390625,0.021043627,9.579413,114.842476,796.0,1486.3235,1.7336676,1.5141253,0.1,0.11805912,0.63191175,-1.266762
0.00390625,0.016943153,4.9002523,25.933222,582.8,973.1299,1.4228117,0.6736349,0.1,0.13360658,1.2037805,0.2100563
0.00390625,0.019431712,7.4126415,68.49101,731.2,1302.569,1.4638422,0.3640327,0.1,0.12024799,0.76544714,-0.84340906
0.00390625,0.019163217,7.184697,64.083244,729.2,1262.8986,1.4035897,0.2307301,0.1,0.120259315,0.7701595,-0.828794
0.00390625,0.01637431,4.376706,18.569206,545.4,928.0439,1.4932535,0.86947346,0.1,0.13072148,1.1815934,0.23858857
0.00390625,0.01644989,4.510589,20.73694,602.2,1012.3124,1.3805099,0.36694756,0.1,0.12350283,0.9576233,-0.35110068
0.00390625,0.016192336,4.283736,17.794983,588.6,1003.33484,1.4872311,0.81959313,0.1,0.12415047,0.9475251,-0.43925
0.00390625,0.016380563,4.42765,19.4713,595.5,1040.9706,1.5625651,1.0126921,0.1,0.12636603,1.0057071,-0.28423667
0.00390625,0.016404344,4.4738503,20.201748,607.5,1065.0321,1.5545248,0.94795626,0.1,0.12453671,0.95350164,-0.4108038
0.00390625,0.016556712,4.7259684,24.184158,630.3,1094.0643,1.4651219,0.5448203,0.1,0.12106067,0.8338014,-0.69018507
0.00390625,0.016345954,4.4401565,19.793976,596.0,1051.4717,1.5986272,1.1361681,0.1,0.12385645,0.933562,-0.46976686
0.00390625,0.016878832,5.0372,28.543592,659.5,1124.3845,1.3892173,0.2814166,0.1,0.11832843,0.7376366,-0.9195843
0.00390625,0.016563589,4.665445,22.914377,625.8,1107.9515,1.5680814,0.9503268,0.1,0.12158505,0.8466145,-0.6873684
0.00390625,0.016409105,4.390722,18.738152,562.5,984.6808,1.6358632,1.3926833,0.1,0.13242766,1.177166,0.15740585
0.00390625,0.019245977,7.762973,77.90403,734.7,1297.4323,1.5061256,0.6403368,0.1,0.117450744,0.6558416,-1.1013446
0.00390625,0.018728293,7.431723,72.19656,727.1,1276.5527,1.4511294,0.38766837,0.1,0.11517883,0.58601934,-1.2298338
0.00390625,0.016138531,4.290121,17.993246,566.2,934.8917,1.3237553,0.24329855,0.1,0.12116637,0.87051886,-0.5891895
0.00390625,0.019876907,7.9933615,80.29261,761.0,1333.1744,1.5008429,0.6673353,0.1,0.11418115,0.55251974,-1.331329
0.00390625,0.01900662,7.0921273,62.142838,717.2,1236.627,1.3970199,0.22950922,0.1,0.11784611,0.7221263,-0.8956106
0.00390625,0.016305676,4.402773,19.404299,555.9,958.8115,1.5875678,1.2581089,0.1,0.12947792,1.1085731,-0.030133009
0.00390625,0.01624008,4.365145,18.897654,570.8,976.53406,1.5418006,1.0837595,0.1,0.12821782,1.0745405,-0.12269688
0.00390625,0.020119378,8.297289,86.51418,756.6,1358.2953,1.5784969,0.9177345,0.1,0.116330005,0.6215576,-1.2021132
0.00390625,0.016167361,4.244861,17.172043,543.2,935.87775,1.5751874,1.2008817,0.1,0.12957658,1.0931102,-0.07944703
0.00390625,0.023480587,10.51046,131.00887,820.7,1618.6045,2.0345595,2.783274,0.1,0.120699756,0.7630092,-0.9766638
0.00390625,0.022937194,10.399309,129.87187,870.9,1635.7019,1.8063692,1.8519126,0.1,0.12084738,0.7102232,-1.1603647
0.00390625,0.029812379,13.721909,203.12654,1066.7,2259.688,2.2211843,3.4784808,0.1,0.14135435,1.4778771,1.1840277
0.00390625,0.016221317,4.372614,19.031109,570.2,962.4987,1.4109825,0.49438894,0.1,0.12006102,0.8651197,-0.54914784
0.00390625,0.018471375,6.8026185,58.892345,706.9,1221.5109,1.386075,0.15346569,0.1,0.11402098,0.59774387,-1.1355892
0.00390625,0.017311005,5.629056,38.854115,691.2,1158.905,1.2842733,-0.14214592,0.1,0.116470106,0.6764349,-1.0168223
0.00390625,0.016379835,4.536419,21.28704,555.4,952.2669,1.5136069,0.9100196,0.1,0.12465342,1.0007638,-0.24659467
0.00390625,0.017892584,5.8824725,40.507545,648.9,1098.4175,1.3060226,-0.11164265,0.1,0.118017204,0.81726784,-0.55813646
0.00390625,0.017946277,6.0626574,44.182068,649.1,1106.9604,1.3333749,-0.026650414,0.1,0.11565658,0.7324679,-0.73190665
0.00390625,0.016410884,4.552574,21.236328,560.7,943.62683,1.4027263,0.47867727,0.1,0.12195706,0.93522316,-0.3703859
0.00390625,0.017592967,6.0828404,47.053288,686.0,1157.2935,1.3006326,-0.11033187,0.1,0.11406782,0.61470896,-1.0836904
0.00390625,0.020710038,8.903597,99.185234,772.5,1412.7554,1.6816261,1.3478986,0.1,0.11516392,0.5807219,-1.3038111
0.00390625,0.016333127,4.415989,19.359581,560.6,935.82135,1.3903651,0.49504948,0.1,0.1267672,1.0785636,-0.027137995
0.00390625,0.016837293,4.911411,26.119463,618.0,1037.6818,1.344533,0.17862508,0.1,0.122493125,0.92512333,-0.4140966
0.00390625,0.016565925,4.6014423,21.93434,604.7,1011.30994,1.3487729,0.24300542,0.1,0.12171813,0.8777191,-0.5685165
0.00390625,0.01722691,5.136148,29.073162,521.8,918.43896,1.6874528,1.6239424,0.1,0.14349003,1.4713123,1.054594
0.00390625,0.019357136,7.3992085,68.56488,728.5,1290.2467,1.4638838,0.3987818,0.1,0.12063395,0.789956,-0.7767794
0.00390625,0.018441215,6.623451,55.031208,745.2,1279.3574,1.3421023,-0.03404938,0.1,0.11923051,0.72154677,-0.98869824
0.00390625,0.017027924,4.8736143,24.803844,562.3,955.6671,1.4891663,0.8584585,0.1,0.13676135,1.3434321,0.6922045
0.00390625,0.017228402,5.094706,28.071451,572.7,958.51404,1.4092422,0.5723874,0.1,0.13560556,1.2984521,0.5520766
0.00390625,0.01691967,4.790563,23.81111,618.8,1003.43585,1.217673,-0.1395258,0.1,0.1281955,1.0543641,-0.14950037
0.00390625,0.016343188,4.4327216,19.519224,554.9,950.3224,1.4700723,0.68313557,0.1,0.12503128,1.0665457,0.009068251
0.00390625,0.016453575,4.5564823,21.507875,614.3,1018.5949,1.318784,0.16735946,0.1,0.11962909,0.8265212,-0.67767954
0.00390625,0.020320727,8.54534,92.14934,799.7,1419.6654,1.5267025,0.714849,0.1,0.11797559,0.6475514,-1.2341709
0.00390625,0.0163088,4.4825916,20.500046,575.3,982.11224,1.4444838,0.5721125,0.1,0.121223085,0.92367095,-0.37642264
0.00390625,0.016288701,4.452999,20.27694,612.5,1039.2728,1.4310145,0.55464005,0.1,0.11907003,0.8013737,-0.75286317
0.00390625,0.017439384,5.65226,38.557472,688.7,1128.4893,1.2058065,-0.3365539,0.1,0.11701079,0.6877671,-0.99884295
0.00390625,0.016615279,4.6317782,22.083315,559.5,953.59357,1.506203,0.924837,0.1,0.13222034,1.2255508,0.35172844
0.00390625,0.01762022,5.8098373,41.0418,692.2,1165.1456,1.2921604,-0.13622868,0.1,0.119534716,0.77749914,-0.7883346
0.00390625,0.01736377,5.5613956,36.888893,697.1,1180.6646,1.3275563,0.0020042243,0.1,0.118561454,0.7414173,-0.90220237
0.00390625,0.016506722,4.4987545,20.157875,546.2,915.36053,1.3949788,0.47901723,0.1,0.12829533,1.1606107,0.24806714
0.00390625,0.018747494,6.8382077,58.06454,680.1,1186.9661,1.4361,0.34870225,0.1,0.1190831,0.79880685,-0.64910364
